smiles,score,S12T1,S1_exc,T2_exc,T1_exc
CO[C+]([O-])[c-]1[cH+][cH-][c+](O[Si+2]234(O[c+]5[cH-][cH+][c-]([C+]([O-])OC)[cH+][cH-]5)N5[C+]6[N-][c-]7[c+]8[cH-][cH+][cH-][cH+][c-]8[c+](n72)[N-][c-]2[c+]7[cH-][cH+][cH-][cH+][c-]7[c+](n23)[N-][c-]2[c+]3[cH-][cH+][cH-][cH+][c-]3[c+](n24)[N-][C-]5[C+]2[CH-][CH+][CH-][CH+][C+]26)[cH-][cH+]1,-7.703688754960511,-0.07240000000000002,2.2034,1.1379,1.0507
C[Si]1(C)O[Si](C)(C)c2c(=O)o[n-][n+]2-c2ccccc2[Si](C)(C)c2ccccc2-[n+]2[n-]oc(=O)c21,-6.848033372976848,-0.020299999999999763,4.5233,2.2718,2.2712
CC(C)c1cccc(C(C)C)c1N1C(=[Si]=C2N(c3c(C(C)C)cccc3C(C)C)C(C)(C)CC23CCCCC3)C2(CCCCC2)CC1(C)C,-6.637666268041163,-0.1650999999999998,2.4799,1.3225,0.908
CCCCCCCC[Si](C)(C)O[Si+2]123(O[Si](C)(C)CCCCCCCC)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15,-6.772232601458494,-0.06910000000000016,2.2759,1.1725,1.1506
F[c-]1[cH+][c-](F)[cH+][c-](O[Si+2]234(O[c-]5[cH+][c-](F)[cH+][c-](F)[cH+]5)N5[C+]6[N-][c+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c-](n72)[N-][c+]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n23)[N-][c+]2[c-]3[cH+][cH-][cH+][cH-][c+]3[c-](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[cH+]1,-7.854237042183049,-0.05500000000000016,2.1896,1.1223,1.0388
C1=C=[O+]c2c#cc#cc2[O+]=[C-]C23[N-]C2([C-]=[O+]c2c#cc#cc2OC#C[O+]=1)[N-]N3,-7.995541508161352,0.22889999999999988,2.2051,0.9881,0.9812
[cH+]1[cH-][n-][cH+][c+](O[Si+2]234(O[c+]5[cH+][n-][cH-][cH+][cH-]5)N5[C+]6[N-][c+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c-](n72)[N-][c+]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n23)[N-][c+]2[c-]3[cH+][cH-][cH+][cH-][c+]3[c-](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[cH-]1,-7.599410566659363,-0.07899999999999974,2.2126,1.1458,1.0596
[O-][C+](O[Si+2]123(O[C+]([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)N4[C+]5[N-][c+]6[c-]7[cH-][cH+][cH-][cH+][c+]7[c-](n61)[N-][c+]1[c-]6[cH-][cH+][cH-][cH+][c+]6[c-](n12)[N-][c+]1[c-]2[cH-][cH+][cH-][cH+][c+]2[c-](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-8.096356463939825,0.13770000000000016,2.1821,1.0222,0.9951
CC1=C(C)C(=[S+]c2cccc([S+]=C3C(C)=C(C)C4=Cc5c(C)c(C)c(C)n5[B-](F)(F)N43)c2)N2C1=Cc1c(C)c(C)c(C)n1[B-]2(F)F,-0.7184142043939454,0.007800000000000029,2.9256,1.4589,1.4583
C(#Cc1c2ccccc2cc2cc3ccccc3cc12)c1ccccc1C#Cc1c2ccccc2cc2cc3ccccc3cc12,-3.185395741744777,-0.1921999999999997,2.6476,1.4199,1.3628
F[B-]1(F)n2cccc2C(c2cccc(C3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)c2)=C2C=CC=[N+]21,0.1420159578229194,0.036900000000000155,3.4557,1.7094,1.709
CC(C)([C+]([O-])O[Si+2]123(O[C+]([O-])C(C)(C)C(F)(F)F)N4[C+]5[N-][c+]6[c-]7[cH-][cH+][cH-][cH+][c+]7[c-](n61)[N-][c+]1[c-]6[cH-][cH+][cH-][cH+][c+]6[c-](n12)[N-][c+]1[c-]2[cH-][cH+][cH-][cH+][c+]2[c-](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15)C(F)(F)F,-7.678330381771719,0.0591999999999997,2.2146,1.0777,1.0373
CC(C)(C)[C+]([O-])O[Si+2]123(O[C+]([O-])C(C)(C)C)N4[C+]5[N-][c+]6[c-]7[cH-][cH+][cH-][cH+][c+]7[c-](n61)[N-][c+]1[c-]6[cH-][cH+][cH-][cH+][c+]6[c-](n12)[N-][c+]1[c-]2[cH-][cH+][cH-][cH+][c+]2[c-](n13)[N-][C+]4[c-]1[cH-][cH+][cH-][cH+][c+]15,-7.470796848105956,0.020999999999999908,2.2294,1.1042,1.0609
CC(C)(C)C1=CC(=c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(=C5C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C5)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc([nH]6)c(-c6c(F)c(F)c(F)c(F)c6F)c6nc2C=C6)C=C5)C=C4)C=C3)C=C(C(C)(C)C)C1=O,-11.245978896688936,-0.18720000000000003,1.8296,1.0084,0.8576
[cH+]1[cH-][cH+][c-](O[Si+2]234(O[c-]5[cH+][cH-][cH+][cH-][cH+]5)N5[C+]6[N-][c+]7[c-]8[cH+][cH-][cH+][cH-][c+]8[c-](n72)[N-][c+]2[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n23)[N-][c+]2[c-]3[cH+][cH-][cH+][cH-][c+]3[c-](n24)[N-][C+]5[c-]2[cH+][cH-][cH+][cH-][c+]26)[cH+][cH-]1,-7.508904107435144,-0.08840000000000003,2.2178,1.1531,1.0724
F[c+]1[c-](F)[cH+][c-](F)[c+](F)[c-]1O[Si+2]123(O[c-]4[c+](F)[c-](F)[cH+][c-](F)[c+]4F)N4[C+]5[N-][c+]6[c-]7[cH+][cH-][cH+][cH-][c+]7[c-](n61)[N-][c+]1[c-]6[cH+][cH-][cH+][cH-][c+]6[c-](n12)[N-][c+]1[c-]2[cH+][cH-][cH+][cH-][c+]2[c-](n13)[N-][C+]4[c-]1[cH+][cH-][cH+][cH-][c+]15,-8.10423735411804,0.06390000000000029,2.1745,1.0553,1.0058
O=Nc1ccc(C(c2ccc(N=O)cc2)(c2ccc(N=O)cc2)c2ccc(N=O)cc2)cc1,-15.064841992424023,0.3386,1.4738,0.5676,0.5676
