Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4662233,0.44170805,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'],26,0.02451524999999999,400
c1cncc(-c2occ3ccccc23)c1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4362215,0.4443363,['COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O'],15,-0.008114800000000033,400
COc1ccc(-c2oc(-c3ccccc3)c3cccc(OC)c23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4219783,0.4443363,['COc1ccc(-c2oc(-c3ccccc3)c3cccc(OC)c23)cc1'],25,-0.022358000000000045,400
COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4362215,0.4443363,['COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O'],24,-0.008114800000000033,400
COc1ccccc1O,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4362215,0.4443363,['COc1ccc(-c2oc(-c3cccnc3)c3ccccc23)cc1O'],9,-0.008114800000000033,400
COOc1ccccc1OC,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4639806,0.44170805,['COOc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OC'],11,0.022272550000000002,400
Cc1cc(-c2oc(-c3ccc(N)cc3)c3ccccc23)no1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4101793,0.4443363,['Cc1cc(-c2oc(-c3ccc(N)cc3)c3ccccc23)no1'],22,-0.03415699999999999,400
Cc1cc(-c2oc(-c3ccccc3)c3ccc(O)cc23)no1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4065882,0.4443363,['Cc1cc(-c2oc(-c3ccccc3)c3ccc(O)cc23)no1'],22,-0.03774810000000001,400
FC(F)(F)c1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4917787,0.44170805,['FC(F)(F)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'],10,0.050070649999999994,400
CCc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4568413,0.44170805,['CCc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1'],24,0.015133249999999987,400
FC(F)(F)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4917787,0.44170805,['FC(F)(F)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'],25,0.050070649999999994,400
*c1oc(*)c2ncccc12,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],11,-0.014394500000000032,400
c1ccc(-c2occ3ncccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],15,-0.014394500000000032,400
c1ccc(-c2occ3cccnc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],15,-0.014394500000000032,400
*c1oc(-c2ccccc2)c2cccnc12,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],16,-0.014394500000000032,400
*c1oc(-c2ccccc2)c2ncccc12,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],16,-0.014394500000000032,400
COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],26,-0.014394500000000032,400
c1ccc(-c2oc(-c3ccccc3)c3ncccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4299418,0.4443363,['COC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3cccnc23)cc1'],21,-0.014394500000000032,400
CC(C)c1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4397118,0.4443363,['CC(C)c1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1'],9,-0.004624500000000031,400
CC(C)c1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4397118,0.4443363,['CC(C)c1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1'],25,-0.004624500000000031,400
CC(C)Oc1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.432049,0.4443363,['CC(C)Oc1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1'],27,-0.012287300000000001,400
CC(C)Oc1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.432049,0.4443363,['CC(C)Oc1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1'],10,-0.012287300000000001,400
c1ccc2cocc2c1,28,22.400000000000002,14,87.5,0.44401409999999997,0.44387865,0.47066600000000003,"['CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1', 'Nc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'CNc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CN(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccc(Br)cc23)cc1', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccc(N(C)C)cc23)cc1', 'N#Cc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)o1', 'CCOC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'N#Cc1ccc2c(-c3ccccc3)oc(-c3ccc(C#N)o3)c2c1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1O', 'Cc1ccc(-c2oc(-c3ccccc3)c3cc(O)ccc23)cc1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)co1', 'N#Cc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)o1', 'Cc1ccc2c(-c3ccccc3)oc(-c3coc(C)c3)c2c1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccccc23)no1']",9,-0.026787350000000043,410
*c1oc(-c2ccccc2)c2ccccc12,14,11.200000000000001,14,87.5,0.44401409999999997,0.44387865,0.47066600000000003,"['CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1', 'Nc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'CNc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CN(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccc(Br)cc23)cc1', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccc(N(C)C)cc23)cc1', 'N#Cc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)o1', 'CCOC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'N#Cc1ccc2c(-c3ccccc3)oc(-c3ccc(C#N)o3)c2c1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1O', 'Cc1ccc(-c2oc(-c3ccccc3)c3cc(O)ccc23)cc1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)co1', 'N#Cc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)o1', 'Cc1ccc2c(-c3ccccc3)oc(-c3coc(C)c3)c2c1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccccc23)no1']",16,-0.026787350000000043,410
c1ccc(-c2occ3ccccc23)cc1,14,11.200000000000001,14,87.5,0.44401409999999997,0.44387865,0.47066600000000003,"['CCC(C)c1ccc(-c2oc(-c3ccccc3)c3ccc(O)cc23)cc1', 'Nc1ccc(-c2oc(-c3ccccc3)c3ccc(F)cc23)cc1', 'CNc1ccc(-c2oc(-c3ccc(OC)c(O)c3)c3ccccc23)cc1', 'CN(C)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccc(Br)cc23)cc1', 'CCc1ccc(-c2oc(-c3ccccc3)c3ccc(N(C)C)cc23)cc1', 'N#Cc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)o1', 'CCOC(=O)c1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1', 'N#Cc1ccc2c(-c3ccccc3)oc(-c3ccc(C#N)o3)c2c1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(N)cc23)cc1O', 'Cc1ccc(-c2oc(-c3ccccc3)c3cc(O)ccc23)cc1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)co1', 'N#Cc1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)o1', 'Cc1ccc2c(-c3ccccc3)oc(-c3coc(C)c3)c2c1', 'CCc1cc(-c2oc(-c3ccccc3)c3ccccc23)no1']",15,-0.026787350000000043,410
